retry_count,time_taken,tab_switches,mouse_idle_time,typing_pauses,used_visual_toggle,subject,frustration_label,struggle_type
0,5.2,0,2.34,1,1,Math,Low,Mixed/Unclear
4,15.95,0,8.62,7,1,Math,High,Dyscalculia-pattern
1,4.98,0,2.52,0,0,Science,Low,None
1,6.71,3,6.74,1,0,English,Medium,ADHD-pattern
1,12.26,1,3.14,1,0,English,Low,ADHD-pattern
0,11.34,0,3.65,1,0,English,Low,None
1,16.69,3,7.77,1,0,Math,Medium,ADHD-pattern
2,31.02,0,7.96,5,1,Math,High,Dyscalculia-pattern
0,10.59,0,1.07,0,0,Science,Low,None
0,11.22,0,1.03,0,0,Math,Low,Mixed/Unclear
0,4.26,0,2.37,0,1,English,Low,None
0,7.59,0,2.39,0,0,English,Low,None
4,32.89,0,10.58,5,1,Math,High,Dyscalculia-pattern
0,9.14,0,2.42,0,0,Science,Low,None
1,3.03,0,2.93,0,1,English,Low,None
2,19.59,0,12.47,7,0,Math,Medium,Dyscalculia-pattern
0,5.25,3,19.94,1,0,English,High,ADHD-pattern
1,17.57,0,15.79,7,0,Math,Medium,Dyscalculia-pattern
0,7.39,1,4.86,0,1,English,Low,ADHD-pattern
2,16.62,2,8.82,1,0,English,Medium,ADHD-pattern
0,3.64,0,1.07,0,0,Science,Low,None
0,9.02,0,1.85,1,1,Science,Low,None
1,10.27,0,0.74,1,0,English,Low,None
1,30.44,1,16.45,2,0,English,Medium,ADHD-pattern
1,12.21,0,1.99,0,1,English,Low,None
0,7.16,0,1.61,1,0,English,Low,None
0,11.34,0,0.92,0,0,Science,Low,None
0,6.41,1,1.16,0,0,English,Low,ADHD-pattern
1,6.39,1,1.87,0,0,Science,Low,ADHD-pattern
1,7.53,0,0.64,1,0,Math,Low,Dyscalculia-pattern
1,35.26,0,10.85,7,0,Math,Medium,Dyscalculia-pattern
1,27.58,1,12.78,5,1,Math,Medium,Mixed/Unclear
0,6.56,0,1.64,0,0,English,Low,None
0,7.84,0,0.83,0,0,Science,Low,None
0,16.18,3,15.4,2,0,English,High,ADHD-pattern
0,4.04,0,2.36,0,0,Math,Low,Mixed/Unclear
3,21.11,1,16.23,7,1,Math,High,Dyscalculia-pattern
1,10.46,0,0.51,0,1,Math,Low,Dyscalculia-pattern
4,31.55,0,12.73,3,0,Math,High,Dyscalculia-pattern
1,40.04,1,12.63,5,0,Math,Medium,Mixed/Unclear
0,31.61,2,16.6,2,0,Math,High,ADHD-pattern
2,26.61,2,19.7,0,1,Science,High,ADHD-pattern
3,38.47,0,15.63,7,0,Math,High,Dyscalculia-pattern
1,26.48,0,16.3,3,0,Math,Medium,ADHD-pattern
0,8.97,2,11.77,1,0,English,Medium,ADHD-pattern
1,11.12,1,4.76,0,1,English,Low,ADHD-pattern
0,5.13,4,10.88,1,1,Science,High,ADHD-pattern
0,7.29,1,1.01,0,1,English,Low,ADHD-pattern
3,33.69,1,16.18,7,1,Math,High,Dyscalculia-pattern
4,24.79,1,9.55,3,0,Math,High,Dyscalculia-pattern
0,10.54,1,2.62,0,1,English,Low,ADHD-pattern
2,21.82,3,12.9,1,0,Math,High,ADHD-pattern
1,23.51,1,13.6,5,0,Math,Medium,Mixed/Unclear
0,4.33,0,1.11,0,1,Math,Low,Mixed/Unclear
2,20.78,4,13.4,0,0,English,High,ADHD-pattern
0,7.39,4,5.85,0,0,Math,High,ADHD-pattern
2,19.29,3,21.15,1,1,Math,High,ADHD-pattern
4,28.5,0,16.08,5,1,Math,High,Dyscalculia-pattern
1,4.1,3,8.99,1,1,Math,High,ADHD-pattern
0,6.45,0,2.27,0,0,Math,Low,Mixed/Unclear
1,8.74,0,4.33,1,0,English,Low,None
0,5.69,1,2.63,0,1,English,Low,ADHD-pattern
0,9.39,1,2.74,0,1,Science,Low,ADHD-pattern
0,12.56,0,4.92,0,1,English,Low,None
4,19.07,0,8.18,5,1,Math,High,Dyscalculia-pattern
1,12.81,4,9.73,1,1,Math,High,ADHD-pattern
0,12.0,0,1.06,0,1,English,Low,None
0,10.55,0,1.1,0,1,Math,Low,Mixed/Unclear
